CodVenta;Provincia;Vendedor;FormaPago;Producto;Categoria; Precio ; Cantidad ; Ventas 
ven209;Lima;Nancy;Tarjeta;Carne;Carne_Enlatada;258 ;42 ;3684 
ven215;Chimbote;Nancy;Cheque;SalsaCurry;Salsas;560 ;48 ;6860 
ven216;Lima;Nancy;Tarjeta;TeChai;Bebidas;252 ;22 ;49588 
ven217;Trujillo;Nancy;Efectivo;Cafe;Bebidas;644 ;71 ;37996 
ven232;Chimbote;Nancy;Cheque;Galleta;Productos_Horneados;129 ;77 ;3378 
ven237;Chimbote;Nancy;Tarjeta;SalsaCurry;Salsas;560 ;52 ;539 
ven243;Chimbote;Nancy;Cheque;Chocolate;Dulces;179 ;41 ;61236 
ven244;Trujillo;Nancy;Tarjeta;Cafe;Bebidas;644 ;59 ;40320 
ven245;Lima;Nancy;Efectivo;TeChai;Bebidas;252 ;91 ;4550 
ven253;Trujillo;Nancy;Efectivo;Cafe;Bebidas;45 ;97 ;3822 
ven257;Lima;Nancy;Tarjeta;TeVerde;Bebidas;42 ;73 ;3520 
ven260;Lima;Nancy;Efectivo;TeChai;Bebidas;252 ;33 ;5600 
ven279;Chimbote;Nancy;Cheque;Mozzarella;Productos_Lacteos;487 ;63 ;10388 
ven282;Lima;Nancy;Tarjeta;Cafe;Bebidas;644 ;14 ;3822 
ven286;Chimbote;Nancy;Tarjeta;Mozzarella;Productos_Lacteos;487 ;100 ;14112 
ven289;Trujillo;Nancy;Cheque;Cafe;Bebidas;644 ;62 ;6440 
ven293;Lima;Nancy;Cheque;TeVerde;Bebidas;42 ;81 ;9520 
ven306;Chimbote;Nancy;Cheque;Chocolate;Dulces;179 ;19 ;10760 
ven313;Lima;Nancy;Cheque;Cafe;Bebidas;644 ;73 ;16744 
ven314;Chimbote;Nancy;Tarjeta;Chocolate;Dulces;179 ;61 ;1891 
ven318;Lima;Nancy;Efectivo;TeChai;Bebidas;252 ;58 ;10304 
ven323;Chimbote;Nancy;Cheque;Galleta;Productos_Horneados;129 ;80 ;3349 
ven326;Chimbote;Nancy;Efectivo;Galleta;Productos_Horneados;129 ;97 ;4116 
ven329;Chimbote;Nancy;Tarjeta;Galleta;Productos_Horneados;129 ;12 ;5544 
ven340;Chimbote;Nancy;Tarjeta;Chocolate;Dulces;179 ;83 ;10718 
ven341;Chimbote;Nancy;Efectivo;Galleta;Productos_Horneados;129 ;40 ;14196 
ven342;Chimbote;Nancy;Efectivo;Chocolate;Dulces;46 ;86 ;2352 
ven344;Chimbote;Nancy;Efectivo;Mozzarella;Productos_Lacteos;487 ;93 ;1372 
ven346;Lima;Nancy;Efectivo;Cafe;Bebidas;644 ;16 ;3223 
ven364;Chimbote;Nancy;Tarjeta;Chocolate;Dulces;179 ;92 ;58968 
ven365;Chimbote;Nancy;Tarjeta;Galleta;Productos_Horneados;129 ;51 ;45220 
ven014;Huancayo;Rigoberto;Cheque;Almejas;Sopas;135 ;76 ;52640 
ven046;Huancayo;Rigoberto;Cheque;Ravioli;Pasta;273 ;82 ;7986 
ven051;Huancayo;Rigoberto;Efectivo;Mozzarella;Productos_Lacteos;46 ;82 ;3956 
ven056;Huancayo;Rigoberto;Tarjeta;Ravioli;Pasta;273 ;87 ;13105 
ven061;Huancayo;Rigoberto;Cheque;Mozzarella;Productos_Lacteos;487 ;32 ;3936 
ven068;Huancayo;Rigoberto;Cheque;Mozzarella;Productos_Lacteos;487 ;70 ;16141 
ven077;Huancayo;Rigoberto;Efectivo;Mozzarella;Productos_Lacteos;487 ;11 ;5809 
ven078;Huancayo;Rigoberto;Cheque;Mozzarella;Productos_Lacteos;487 ;88 ;6440 
ven082;Huancayo;Rigoberto;Tarjeta;Ravioli;Pasta;273 ;27 ;47656 
ven094;Huancayo;Rigoberto;Cheque;Ravioli;Pasta;273 ;61 ;6160 
ven114;Huancayo;Rigoberto;Efectivo;Almejas;Sopas;135 ;89 ;18200 
ven118;Huancayo;Rigoberto;Cheque;Almejas;Sopas;135 ;27 ;39928 
ven142;Huancayo;Rigoberto;Efectivo;Mozzarella;Productos_Lacteos;487 ;57 ;1029 
ven143;Huancayo;Rigoberto;Tarjeta;Ravioli;Pasta;273 ;20 ;7676 
ven148;Huancayo;Rigoberto;Tarjeta;Almejas;Sopas;135 ;18 ;2447 
ven157;Huancayo;Rigoberto;Tarjeta;Ravioli;Pasta;273 ;66 ;36288 
ven171;Huancayo;Rigoberto;Tarjeta;Almejas;Sopas;135 ;90 ;16422 
ven176;Huancayo;Rigoberto;Efectivo;Mozzarella;Productos_Lacteos;487 ;37 ;25228 
ven208;Huancayo;Rigoberto;Efectivo;Ravioli;Pasta;33 ;8 ;4508 
ven238;Huancayo;Rigoberto;Tarjeta;Ravioli;Pasta;273 ;48 ;10175 
ven251;Huancayo;Rigoberto;Cheque;Ravioli;Pasta;273 ;64 ;3626 
ven264;Huancayo;Rigoberto;Cheque;Mozzarella;Productos_Lacteos;487 ;69 ;3430 
ven295;Huancayo;Rigoberto;Tarjeta;Mozzarella;Productos_Lacteos;487 ;58 ;92988 
ven322;Huancayo;Rigoberto;Cheque;Mozzarella;Productos_Lacteos;487 ;27 ;774 
ven360;Huancayo;Rigoberto;Tarjeta;Almejas;Sopas;135 ;14 ;1540 
ven366;Huancayo;Rigoberto;Cheque;Ravioli;Pasta;273 ;55 ;28993 
